system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00048] PathFindOnPath found: C:\Windows\system32\d3d9.dll
display  D   display_settings.c:486  _al_score_display_settings       [   0.09384] Score is : 609
display  D   display_settings.c:357  _al_score_display_settings       [   0.09387] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09389] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09392] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09395] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09397] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09400] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09403] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09406] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09408] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09411] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09414] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09416] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09419] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09422] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09424] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09427] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09430] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09433] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09435] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09438] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.09441] Single Buffer requirement not met.
display  D   display_settings.c:197  _al_score_display_settings       [   0.09443] Display not compatible with Allegro.
display  D   display_settings.c:197  _al_score_display_settings       [   0.09446] Display not compatible with Allegro.
