system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00057] PathFindOnPath found: C:\Windows\system32\d3d9.dll
display  D   display_settings.c:197  _al_score_display_settings       [   0.07467] Display not compatible with Allegro.
display  D   display_settings.c:197  _al_score_display_settings       [   0.07469] Display not compatible with Allegro.
d3d      D         d3d_disp.cpp:1836 d3d_create_display_internals     [   0.07476] Trying format 0 of 140.
d3d      I         d3d_disp.cpp:1514 d3d_display_thread_proc          [   0.07513] Chose a display format: 23
d3d      I         d3d_disp.cpp:1583 d3d_display_thread_proc          [   0.07520] Normal window.
d3d      I         d3d_disp.cpp:978  d3d_create_device                [   0.10031] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:1058 d3d_create_device                [   0.21530] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:1066 d3d_create_device                [   0.21538] Success
d3d      D         d3d_disp.cpp:1859 d3d_create_display_internals     [   0.21543] Resumed after wait.
d3d      I         d3d_disp.cpp:1884 d3d_create_display_internals     [   0.21558] Format 0 succeeded.
dtor     D               dtor.c:184  _al_register_destructor          [   0.21683] added dtor for object 0244F5F0, func 6A671D84
dtor     D               dtor.c:184  _al_register_destructor          [   0.21691] added dtor for object 0244F740, func 6A671BC2
font     D                ttf.c:799  al_load_ttf_font_stretch_f       [   0.21790] Font arial.ttf loaded with pixel size 0 x 38.
font     D                ttf.c:801  al_load_ttf_font_stretch_f       [   0.21793]     ascent=34.0, descent=-8.0, height=44.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.21797] added dtor for object 02447880, func 6BF41064
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.25128] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.25135] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.25137] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.25139] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.25141] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.25143] Fake format
